"Table S5. List of species (""All sequences"" datasets) for each gene with indication of the presence of barcoding gap or overlapping barcode clusters."														
12s				16s				COI				CytB		
Species		Interspecific and intraspecific variability		Species		Interspecific and intraspecific variability		Species		Interspecific and intraspecific variability		Species		Interspecific and intraspecific variability
 Acris	crepitans              	Barcoding gap		 Acris	crepitans              	Barcoding gap		 Acris	crepitans             	Barcoding gap		 Acris	crepitans           	Barcoding gap
 Acris	gryllus                	Barcoding gap		 Acris	gryllus                	Barcoding gap		 Acris	gryllus               	Barcoding gap		 Acris	gryllus             	Barcoding gap
 Aplastodiscus	albofrenatus   	Overlapping barcode		 Aparasphenodon	brunoi        	Barcoding gap		 Aparasphenodon	brunoi       	Barcoding gap		 Boana	albomarginata       	Barcoding gap
 Aplastodiscus	albosignatus   	Overlapping barcode		 Aplastodiscus	albosignatus   	Overlapping barcode		 Aplastodiscus	albosignatus  	Overlapping barcode		 Bokermannohyla	alvarengai 	Barcoding gap
 Aplastodiscus	arildae        	Overlapping barcode		 Aplastodiscus	arildae        	Overlapping barcode		 Aplastodiscus	arildae       	Barcoding gap		 Bokermannohyla	saxicola   	Barcoding gap
 Aplastodiscus	cavicola       	Overlapping barcode		 Aplastodiscus	cavicola       	Overlapping barcode		 Aplastodiscus	ehrhardti     	Barcoding gap		 Dendropsophus	branneri    	Barcoding gap
 Aplastodiscus	cochranae      	Barcoding gap		 Aplastodiscus	cochranae      	Overlapping barcode		 Aplastodiscus	eugenioi      	Overlapping barcode		 Dendropsophus	molitor     	Barcoding gap
 Aplastodiscus	ehrhardti      	Barcoding gap		 Aplastodiscus	ehrhardti      	Barcoding gap		 Aplastodiscus	leucopygius   	Barcoding gap		 Dryophytes	andersonii     	Barcoding gap
 Aplastodiscus	eugenioi       	Barcoding gap		 Aplastodiscus	eugenioi       	Barcoding gap		 Aplastodiscus	perviridis    	Barcoding gap		 Dryophytes	avivoca        	Overlapping barcode
 Aplastodiscus	ibirapitanga   	Barcoding gap		 Aplastodiscus	ibirapitanga   	Barcoding gap		 Aplastodiscus	weygoldti     	Overlapping barcode		 Dryophytes	chrysoscelis   	Overlapping barcode
 Aplastodiscus	leucopygius    	Barcoding gap		 Aplastodiscus	leucopygius    	Barcoding gap		 Boana	albomarginata         	Barcoding gap		 Dryophytes	cinereus       	Barcoding gap
 Aplastodiscus	perviridis     	Barcoding gap		 Aplastodiscus	lutzorum       	Barcoding gap		 Boana	albopunctata          	Barcoding gap		 Dryophytes	eximius        	Barcoding gap
 Aplastodiscus	weygoldti      	Overlapping barcode		 Aplastodiscus	perviridis     	Overlapping barcode		 Boana	appendiculata         	Overlapping barcode		 Dryophytes	femoralis      	Barcoding gap
 Atlantihyla	spinipollex      	Barcoding gap		 Aplastodiscus	weygoldti      	Overlapping barcode		 Boana	bischoffi             	Barcoding gap		 Dryophytes	immaculatus    	Overlapping barcode
 Boana	aguilari               	Barcoding gap		 Atlantihyla	spinipollex      	Barcoding gap		 Boana	boans                 	Overlapping barcode		 Dryophytes	japonicus      	Overlapping barcode
